lat;long;nome_via;
454.734.344.632.259;919.506.969.851.038;VIA TURATI FILIPPO;
454.642.859.212.012;916.421.925.259.784;VIALE SAN MICHELE DEL CARSO;
454.588.107.527.771;918.963.748.284.387;PIAZZA ERCULEA;
454.563.636.314.483;917.438.715.565.353;CORSO GENOVA;
45.488.344.562.394;921.121.243.950.932;VIALE BRIANZA;
454.822.349.784.639;919.437.321.816.867;VIALE DELLA LIBERAZIONE;
454.771.216.292.661;921.734.655.766.461;VIALE ABRUZZI;
454.850.602.863.159;915.629.353.009.938;VIA RUGGERO DI LAURIA;
454.710.264.990.618;91.930.555.640.878;VIA PISONI GASTONE;
454.706.446.983.582;910.299.304.535.169;VIA MARCHESI POMPEO;
454.865.093.218.814;921.143.074.906.597;VIA PIERLUIGI GIOVANNI DA PALESTRINA;
454.817.324.217.379;918.932.121.623.736;VIA DE CRISTOFORIS CARLO;
454.666.405.816.052;920.236.699.510.228;VIA CONSERVATORIO;
454.676.226.648.324;917.876.374.556.247;FORO BUONAPARTE;
454.768.193.434.451;920.074.388.552.535;VIALE VITTORIO VENETO;
45.473.234.522.042;92.063.696.566.355;VIALE PIAVE;
454.674.804.351.939;921.343.526.737.256;VIA GOFFREDO MAMELI;
454.641.523.353.582;91.678.721.217.809;VIA SAN VITTORE;
454.717.798.528.721;922.899.287.012.821;VIA SANGALLO;
454.609.709.413.377;922.024.118.092.861;VIA DOSSI ANTONIO ;
454.729.991.709.028;91.954.940.186.422;PIAZZA CAVOUR;
45.440.815.539.438;917.061.134.449.205;VIA RIMINI;
454.712.557.433.666;921.126.046.001.236;VIA PISACANE CARLO;
454.713.757.631.058;918.159.596.131.271;VIA LANZA GIOVANNI;
454.778.176.573.358;918.306.418.065.817;VIA DELLA MOSCOVA;
454.681.432.036.967;91.856.165.791.586;VIA BROLETTO;
454.735.847.697.994;915.151.951.081.469;PIAZZA AMENDOLA GIOVANNI;
455.229.136.091.589;921.045.662.578.238;VIALE TESTI FULVIO;
454.659.476.907.798;918.819.669.291.269;VIA SAN PROTASO;
454.855.794.881.911;920.718.654.501.808;PIAZZA DI SAVOIA LUIGI;
454.970.385.328.416;919.190.857.198.543;VIA MURAT GIOACCHINO;
454.481.477.245.713;914.124.862.163.185;VIA GIAMBELLINO;
455.155.888.770.584;921.339.981.454.641;VIALE DELLA INNOVAZIONE;
454.382.374.702.168;918.496.519.958.573;VIA SANT'AMPELLIO;
454.922.922.161.208;921.504.693.732.221;VIA OXILIA NINO;
454.393.956.711.566;91.999.087.522.132;VIA RIPAMONTI GIUSEPPE;
454.999.120.879.675;909.687.409.614.283;VIA CILEA FRANCESCO;
454.913.138.942.829;924.667.222.744.773;VIA FELTRE;
454.576.114.496.557;916.514.582.844.538;VIA MONTEVIDEO;
454.604.650.295.818;915.515.922.518.806;VIA DIGIONE;
455.095.602.712.758;917.664.656.480.476;VIA ROSSI PELLEGRINO;
45.499.214.224.443;923.637.111.139.814;VIA DERNA;
454.330.228.219.386;91.618.703.899.562;VIA SAN VIGILIO;
45.458.431.798.758;919.171.843.989.548;VIA LENTASIO;
45.465.119.081.868;918.387.998.053.045;VIA NEGRI GAETANO;
454.730.374.650.169;919.277.540.751.043;VIA DE MARCHI MARCO;
4.549.593.091.505;921.242.473.579.639;VIA SAMMARTINI GIOVANNI BATTISTA;
455.149.358.121.133;919.430.515.251.618;VIA MONTEROTONDO;
455.077.458.739.746;924.735.010.587.157;VIA GIULIETTI GIUSEPPE MARIA;
454.788.509.273.717;924.616.512.517.704;VIA PITTERI RICCARDO;
454.693.012.931.834;920.372.125.158.046;VIA MOZART;
454.610.523.820.483;922.121.676.193.686;VIA REZZONICO FRANCESCO;
454.461.017.811.229;912.499.752.994.839;VIA LORENTEGGIO;
454.474.020.517.558;916.091.539.719.194;VIA D'ADDA CARLO;
454.470.135.054.145;91.559.391.418.448;VIA PONTI ANDREA;
454.711.753.304.714;916.871.273.501.036;VIA MONTI VINCENZO;
